,價格,烘焙項目,總烘焙時間,總鍋數,豆子種類
28143,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28144,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28145,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28146,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28147,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28148,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28149,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28150,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28151,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28152,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28153,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28154,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28155,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28156,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28157,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28158,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28159,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28160,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28161,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28162,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28163,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28164,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28165,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28166,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28167,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28168,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28169,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28170,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28171,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28172,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28173,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28174,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28175,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28176,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28177,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28178,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28179,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28180,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28181,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28182,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28183,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28184,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28185,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28186,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28187,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28188,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28189,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28190,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28191,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28192,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28193,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28194,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28195,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28196,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28197,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28198,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28199,2350,"Counter({'巴西': 3, '巴拿馬': 2, '衣索匹亞': 1})",100,6,"{'巴西', '衣索匹亞', '巴拿馬'}"
28200,1950,"Counter({'巴西': 3, '巴拿馬': 2})",84,5,"{'巴西', '巴拿馬'}"
28201,1950,"Counter({'巴西': 3, '巴拿馬': 2})",84,5,"{'巴西', '巴拿馬'}"
28202,1950,"Counter({'巴西': 3, '巴拿馬': 2})",84,5,"{'巴西', '巴拿馬'}"
28203,1950,"Counter({'巴西': 3, '巴拿馬': 2})",84,5,"{'巴西', '巴拿馬'}"
28204,1950,"Counter({'巴西': 3, '巴拿馬': 2})",84,5,"{'巴西', '巴拿馬'}"
28205,1950,"Counter({'巴西': 3, '巴拿馬': 2})",84,5,"{'巴西', '巴拿馬'}"
28206,1950,"Counter({'巴西': 3, '巴拿馬': 2})",84,5,"{'巴西', '巴拿馬'}"
28207,1950,"Counter({'巴西': 3, '巴拿馬': 2})",84,5,"{'巴西', '巴拿馬'}"
28208,1950,"Counter({'巴西': 3, '巴拿馬': 2})",84,5,"{'巴西', '巴拿馬'}"
28209,1950,"Counter({'巴西': 3, '巴拿馬': 2})",84,5,"{'巴西', '巴拿馬'}"
28210,1950,"Counter({'巴西': 3, '巴拿馬': 2})",84,5,"{'巴西', '巴拿馬'}"
28211,1950,"Counter({'巴西': 3, '巴拿馬': 2})",84,5,"{'巴西', '巴拿馬'}"
28212,1950,"Counter({'巴西': 3, '巴拿馬': 2})",84,5,"{'巴西', '巴拿馬'}"
28213,1950,"Counter({'巴西': 3, '巴拿馬': 2})",84,5,"{'巴西', '巴拿馬'}"
28214,1950,"Counter({'巴西': 3, '巴拿馬': 2})",84,5,"{'巴西', '巴拿馬'}"
28215,1950,"Counter({'巴西': 3, '巴拿馬': 2})",84,5,"{'巴西', '巴拿馬'}"
28216,1950,"Counter({'巴西': 3, '巴拿馬': 2})",84,5,"{'巴西', '巴拿馬'}"
28217,1950,"Counter({'巴西': 3, '巴拿馬': 2})",84,5,"{'巴西', '巴拿馬'}"
28218,1950,"Counter({'巴西': 3, '巴拿馬': 2})",84,5,"{'巴西', '巴拿馬'}"
28219,1950,"Counter({'巴西': 3, '巴拿馬': 2})",84,5,"{'巴西', '巴拿馬'}"
28220,1950,"Counter({'巴西': 3, '巴拿馬': 2})",84,5,"{'巴西', '巴拿馬'}"
28221,1950,"Counter({'巴西': 3, '巴拿馬': 2})",84,5,"{'巴西', '巴拿馬'}"
28222,1950,"Counter({'巴西': 3, '巴拿馬': 2})",84,5,"{'巴西', '巴拿馬'}"
28223,1950,"Counter({'巴西': 3, '巴拿馬': 2})",84,5,"{'巴西', '巴拿馬'}"
28224,1950,"Counter({'巴西': 3, '巴拿馬': 2})",84,5,"{'巴西', '巴拿馬'}"
28225,1950,"Counter({'巴西': 3, '巴拿馬': 2})",84,5,"{'巴西', '巴拿馬'}"
28226,1950,"Counter({'巴西': 3, '巴拿馬': 2})",84,5,"{'巴西', '巴拿馬'}"
28227,1950,"Counter({'巴西': 3, '巴拿馬': 2})",84,5,"{'巴西', '巴拿馬'}"
